GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US01503,01503,ZCTA5 01503,47905,5741
8600000US01504,01504,ZCTA5 01504,33253,1694
8600000US01505,01505,ZCTA5 01505,47595,5441
8600000US01506,01506,ZCTA5 01506,34450,3504
8600000US01507,01507,ZCTA5 01507,37512,3031
8600000US01510,01510,ZCTA5 01510,30955,1867
8600000US01515,01515,ZCTA5 01515,34639,3512
8600000US01516,01516,ZCTA5 01516,35436,3101
8600000US01518,01518,ZCTA5 01518,38091,7239
8600000US01519,01519,ZCTA5 01519,47905,3517
8600000US01520,01520,ZCTA5 01520,41699,2168
8600000US01521,01521,ZCTA5 01521,35363,2944
8600000US01522,01522,ZCTA5 01522,42394,6320
8600000US01523,01523,ZCTA5 01523,33078,4451
8600000US01524,01524,ZCTA5 01524,32164,5267
8600000US01525,01525,ZCTA5 01525,40023,22995
8600000US01527,01527,ZCTA5 01527,34857,2126
8600000US01529,01529,ZCTA5 01529,34255,2613
8600000US01531,01531,ZCTA5 01531,36314,5677
8600000US01532,01532,ZCTA5 01532,46860,3823
8600000US01534,01534,ZCTA5 01534,44261,7489
8600000US01535,01535,ZCTA5 01535,30530,2514
8600000US01536,01536,ZCTA5 01536,41970,3903
8600000US01537,01537,ZCTA5 01537,28702,4575
8600000US01540,01540,ZCTA5 01540,29422,2073
8600000US01541,01541,ZCTA5 01541,54940,7590
8600000US01542,01542,ZCTA5 01542,36454,4754
8600000US01543,01543,ZCTA5 01543,36917,3437
8600000US01545,01545,ZCTA5 01545,44402,1852
8600000US01550,01550,ZCTA5 01550,24724,1538
8600000US01560,01560,ZCTA5 01560,39644,3907
8600000US01561,01561,ZCTA5 01561,31381,13517
8600000US01562,01562,ZCTA5 01562,30409,2036
8600000US01564,01564,ZCTA5 01564,47551,5975
8600000US01566,01566,ZCTA5 01566,43514,6199
8600000US01568,01568,ZCTA5 01568,45515,3157
8600000US01569,01569,ZCTA5 01569,34655,2718
8600000US01570,01570,ZCTA5 01570,26356,1759
8600000US01571,01571,ZCTA5 01571,29785,2106
8600000US01581,01581,ZCTA5 01581,46782,1904
8600000US01583,01583,ZCTA5 01583,27467,5663
8600000US01585,01585,ZCTA5 01585,31640,4104
8600000US01588,01588,ZCTA5 01588,31274,3510
8600000US01590,01590,ZCTA5 01590,41891,2800
8600000US01602,01602,ZCTA5 01602,33417,1969
8600000US01603,01603,ZCTA5 01603,22724,1817
8600000US01604,01604,ZCTA5 01604,26263,1261
8600000US01605,01605,ZCTA5 01605,20729,1493
8600000US01606,01606,ZCTA5 01606,34426,2269
8600000US01607,01607,ZCTA5 01607,25439,2706
8600000US01608,01608,ZCTA5 01608,12874,2390
8600000US01609,01609,ZCTA5 01609,27559,2418
8600000US01610,01610,ZCTA5 01610,15359,1267
8600000US01611,01611,ZCTA5 01611,34645,4701
8600000US01612,01612,ZCTA5 01612,37695,3062
8600000US01701,01701,ZCTA5 01701,47041,2251
8600000US01702,01702,ZCTA5 01702,28353,1464
8600000US01718,01718,ZCTA5 01718,59295,19602
8600000US01719,01719,ZCTA5 01719,57192,4556
8600000US01720,01720,ZCTA5 01720,59593,3126
8600000US01721,01721,ZCTA5 01721,50097,3299
8600000US01730,01730,ZCTA5 01730,55262,4197
8600000US01731,01731,ZCTA5 01731,25069,3392
8600000US01740,01740,ZCTA5 01740,54767,4003
8600000US01741,01741,ZCTA5 01741,83920,8642
8600000US01742,01742,ZCTA5 01742,68106,5366
8600000US01745,01745,ZCTA5 01745,34163,12546
8600000US01746,01746,ZCTA5 01746,48394,2836
8600000US01747,01747,ZCTA5 01747,41244,3736
8600000US01748,01748,ZCTA5 01748,60782,3457
8600000US01749,01749,ZCTA5 01749,38275,1563
8600000US01752,01752,ZCTA5 01752,36782,2041
8600000US01754,01754,ZCTA5 01754,46941,5203
8600000US01756,01756,ZCTA5 01756,47850,5215
8600000US01757,01757,ZCTA5 01757,35343,1556
8600000US01760,01760,ZCTA5 01760,52377,2703
8600000US01770,01770,ZCTA5 01770,73986,9940
8600000US01772,01772,ZCTA5 01772,64334,5004
8600000US01773,01773,ZCTA5 01773,91150,15479
8600000US01775,01775,ZCTA5 01775,55315,5534
8600000US01776,01776,ZCTA5 01776,73702,5571
8600000US01778,01778,ZCTA5 01778,75193,4600
8600000US01801,01801,ZCTA5 01801,37573,1632
8600000US01803,01803,ZCTA5 01803,41548,2086
8600000US01810,01810,ZCTA5 01810,59241,2707
8600000US01821,01821,ZCTA5 01821,39661,2234
8600000US01824,01824,ZCTA5 01824,48287,2234
8600000US01826,01826,ZCTA5 01826,35509,1354
8600000US01827,01827,ZCTA5 01827,51292,3771
8600000US01830,01830,ZCTA5 01830,30606,1615
8600000US01832,01832,ZCTA5 01832,30809,1924
8600000US01833,01833,ZCTA5 01833,46138,3298
8600000US01834,01834,ZCTA5 01834,40327,5311
8600000US01835,01835,ZCTA5 01835,32897,2305
8600000US01840,01840,ZCTA5 01840,17905,3124
8600000US01841,01841,ZCTA5 01841,15783,784
8600000US01843,01843,ZCTA5 01843,19206,1243
8600000US01844,01844,ZCTA5 01844,31514,1016
8600000US01845,01845,ZCTA5 01845,48776,2019
8600000US01850,01850,ZCTA5 01850,18918,1591
8600000US01851,01851,ZCTA5 01851,23154,1126
8600000US01852,01852,ZCTA5 01852,27264,1601
8600000US01854,01854,ZCTA5 01854,19745,1116
8600000US01860,01860,ZCTA5 01860,39796,3932
8600000US01862,01862,ZCTA5 01862,32881,1914
8600000US01863,01863,ZCTA5 01863,43825,3367
8600000US01864,01864,ZCTA5 01864,49810,2830
8600000US01867,01867,ZCTA5 01867,49200,2359
8600000US01876,01876,ZCTA5 01876,40781,1849
8600000US01879,01879,ZCTA5 01879,44664,4299
8600000US01880,01880,ZCTA5 01880,43840,2082
8600000US01886,01886,ZCTA5 01886,50363,3050
8600000US01887,01887,ZCTA5 01887,41102,2607
8600000US01890,01890,ZCTA5 01890,71188,4269
8600000US01901,01901,ZCTA5 01901,18954,4468
8600000US01902,01902,ZCTA5 01902,21766,1693
8600000US01904,01904,ZCTA5 01904,35988,2153
8600000US01905,01905,ZCTA5 01905,23424,1367
8600000US01906,01906,ZCTA5 01906,34944,1763
8600000US01907,01907,ZCTA5 01907,53861,5304
8600000US01908,01908,ZCTA5 01908,52891,7281
8600000US01913,01913,ZCTA5 01913,37392,1751
8600000US01915,01915,ZCTA5 01915,42197,2548
8600000US01921,01921,ZCTA5 01921,62718,7915
8600000US01922,01922,ZCTA5 01922,43321,4618
8600000US01923,01923,ZCTA5 01923,38374,1739
8600000US01929,01929,ZCTA5 01929,49892,7405
8600000US01930,01930,ZCTA5 01930,39144,2570
8600000US01937,01937,ZCTA5 01937,15440,15363
8600000US01938,01938,ZCTA5 01938,44376,2778
8600000US01940,01940,ZCTA5 01940,52170,3714
8600000US01944,01944,ZCTA5 01944,60405,8733
8600000US01945,01945,ZCTA5 01945,62096,4321
8600000US01949,01949,ZCTA5 01949,42162,6740
8600000US01950,01950,ZCTA5 01950,52667,3756
8600000US01951,01951,ZCTA5 01951,50301,7833
8600000US01952,01952,ZCTA5 01952,32592,2327
8600000US01960,01960,ZCTA5 01960,34826,1617
8600000US01966,01966,ZCTA5 01966,44610,4886
8600000US01969,01969,ZCTA5 01969,45105,5728
8600000US01970,01970,ZCTA5 01970,32747,1542
8600000US01982,01982,ZCTA5 01982,48076,4645
8600000US01983,01983,ZCTA5 01983,52686,5475
8600000US01984,01984,ZCTA5 01984,44238,6398
8600000US01985,01985,ZCTA5 01985,58323,8184
8600000US02019,02019,ZCTA5 02019,43720,3448
8600000US02021,02021,ZCTA5 02021,49206,2851
8600000US02025,02025,ZCTA5 02025,68458,8922
8600000US02026,02026,ZCTA5 02026,44792,2036
8600000US02030,02030,ZCTA5 02030,101393,9772
8600000US02032,02032,ZCTA5 02032,52135,8528
8600000US02035,02035,ZCTA5 02035,44217,3825
8600000US02038,02038,ZCTA5 02038,46981,2302
8600000US02043,02043,ZCTA5 02043,64920,4691
8600000US02045,02045,ZCTA5 02045,45228,3381
